====================================================================================================
REASONING BY CONFIDENCE BIN — per (model, dataset) × disjoint 10% bins within top-50% pool
Rows: 270  |  Columns: ['model', 'dataset', 'bin_label', 'bin_start_pct', 'bin_end_pct', 'total_traces_in_bin', 'sampled_traces', 'random_seed', 'mean_reasoning_score', 'std_reasoning_score', 'stderr_reasoning_score', 'ci_lower', 'ci_upper', 'bootstrap_ci_lower', 'bootstrap_ci_upper', 'mean_accuracy_population']
====================================================================================================
       model       dataset bin_label  bin_start_pct  bin_end_pct  total_traces_in_bin  sampled_traces  random_seed  mean_reasoning_score  std_reasoning_score  stderr_reasoning_score  ci_lower  ci_upper  bootstrap_ci_lower  bootstrap_ci_upper  mean_accuracy_population
LLaMA-3.1-8B          AQuA      0-10              0           10                  407              50   1840070274               0.52875             0.280991               0.0397381  0.448893  0.608607              0.4525             0.60375                  0.567568
LLaMA-3.1-8B          AQuA     10-20             10           20                  406              50   1303541088               0.49125             0.248724               0.0351749  0.420563  0.561937             0.42375                0.56                   0.44335
LLaMA-3.1-8B          AQuA     20-30             20           30                  407              50   1351106095               0.39125             0.210461               0.0297636  0.331438  0.451062            0.334969              0.4475                  0.353808
LLaMA-3.1-8B          AQuA     30-40             30           40                  406              50    536303754                   0.4             0.243211               0.0343953   0.33088   0.46912              0.3375              0.4675                  0.347291
LLaMA-3.1-8B          AQuA     40-50             40           50                  406              50   1859494960                0.3725             0.249668               0.0353084  0.301545  0.443455             0.31125             0.44625                  0.332512
LLaMA-3.1-8B CommonsenseQA      0-10              0           10                 1954              50   1760656341                  0.55             0.216874               0.0306707  0.488365  0.611635              0.4925             0.60875                  0.682702
LLaMA-3.1-8B CommonsenseQA     10-20             10           20                 1954              50    891630688               0.58125             0.200147               0.0283051  0.524369  0.638131               0.525             0.63875                  0.684749
LLaMA-3.1-8B CommonsenseQA     20-30             20           30                 1953              50   1823854521               0.50875             0.154653               0.0218712  0.464798  0.552702               0.465             0.55125                  0.675883
LLaMA-3.1-8B CommonsenseQA     30-40             30           40                 1954              50   2077810138                0.5375             0.164635               0.0232829  0.490711  0.584289             0.49125               0.585                  0.655578
LLaMA-3.1-8B CommonsenseQA     40-50             40           50                 1953              50    745971892               0.55375             0.174968               0.0247442  0.504025  0.603475              0.5075            0.602531                  0.654378
LLaMA-3.1-8B          GPQA      0-10              0           10                  717              50    203280641                 0.505             0.190176                0.026895  0.450952  0.559048              0.4525             0.55875                  0.389121
LLaMA-3.1-8B          GPQA     10-20             10           20                  717              50    477687360               0.50625             0.181779               0.0257075  0.454589  0.557911             0.45625               0.555                  0.429568
LLaMA-3.1-8B          GPQA     20-30             20           30                  717              50   1614210778                0.5225             0.182003               0.0257391  0.470775  0.574225               0.475             0.57625                  0.425384
LLaMA-3.1-8B          GPQA     30-40             30           40                  717              50   2113826721               0.50875             0.139474               0.0197247  0.469112  0.548388             0.47125              0.5475                  0.354254
LLaMA-3.1-8B          GPQA     40-50             40           50                  716              50   1661108275                0.5575             0.180278               0.0254951  0.506266  0.608734                0.51             0.60875                  0.332402
LLaMA-3.1-8B         GSM8K      0-10              0           10                 2111              50   1090163931               0.79875             0.238341               0.0337065  0.731014  0.866486             0.73125             0.86125                  0.828517
LLaMA-3.1-8B         GSM8K     10-20             10           20                 2110              50    783692306                0.7275             0.290627               0.0411009  0.644905  0.810095              0.6425             0.81125                  0.721327
LLaMA-3.1-8B         GSM8K     20-30             20           30                 2111              50    593929647               0.64625             0.325522               0.0460358  0.553738  0.738762              0.5525             0.73625                  0.707721
