benchmark,model_a,model_b,regime_a,regime_b,acc_gap_pp,acc_gap_raw,frs_gap,bon_gap,frs_gt_acc_pp,sign_frs,sign_acc,sign_bon,frs1,frs2,acc1,acc2,bon1,bon2
commonsenseqa,DS-R1-7B,Gemma-7B,reliable,inverted,33.28115951585365,0.33281159515853653,62.581501831501825,53.736417788465246,True,1.0,1.0,1.0,74.12912087912088,11.547619047619047,0.5249814768589166,0.1921698817003801,77.81979453212556,24.08337674366031
commonsenseqa,DS-R1-7B,LLaMA-3.1-8B,reliable,reliable,16.39008762141092,0.1639008762141092,23.12992216117216,23.769931303495753,True,1.0,-1.0,1.0,74.12912087912088,50.999198717948715,0.5249814768589166,0.6888823530730258,77.81979453212556,54.0498632286298
commonsenseqa,DS-R1-7B,Phi-4,reliable,flat,4.90892750281362,0.0490892750281362,12.10027472527473,8.87790076972938,True,-1.0,-1.0,1.0,74.12912087912088,86.2293956043956,0.5249814768589166,0.5740707518870528,77.81979453212556,68.94189376239618
commonsenseqa,DS-R1-7B,Phi-4-Reas.,reliable,inverted,29.319274324126553,0.29319274324126554,56.12296037296037,17.187023035660246,True,1.0,-1.0,1.0,74.12912087912088,18.006160506160505,0.5249814768589166,0.8181742201001821,77.81979453212556,60.63277149646531
commonsenseqa,DS-R1-7B,Qwen2.5-7B,reliable,flat,34.225600782315766,0.3422560078231577,19.4659194971695,10.180931630156962,False,1.0,-1.0,-1.0,74.12912087912088,54.663201381951374,0.5249814768589166,0.8672374846820743,77.81979453212556,88.00072616228252
commonsenseqa,DS-R1-7B,Qwen2.5-Math,reliable,inverted,3.3776692108301254,0.033776692108301254,4.352335164835168,5.375737473337836,True,1.0,-1.0,1.0,74.12912087912088,69.77678571428571,0.5249814768589166,0.5587581689672179,77.81979453212556,72.44405705878772
commonsenseqa,DS-R1-7B,Qwen3-4B,reliable,reliable,18.50148021937511,0.1850148021937511,2.0820637695637743,4.832336677719908,False,-1.0,-1.0,1.0,74.12912087912088,76.21118464868465,0.5249814768589166,0.7099962790526677,77.81979453212556,72.98745785440565
commonsenseqa,Gemma-7B,LLaMA-3.1-8B,inverted,reliable,49.67124713726457,0.49671247137264574,39.451579670329664,29.966486484969494,False,-1.0,-1.0,-1.0,11.547619047619047,50.999198717948715,0.1921698817003801,0.6888823530730258,24.08337674366031,54.0498632286298
commonsenseqa,Gemma-7B,Phi-4,inverted,flat,38.19008701866727,0.38190087018667274,74.68177655677655,44.85851701873587,True,-1.0,-1.0,-1.0,11.547619047619047,86.2293956043956,0.1921698817003801,0.5740707518870528,24.08337674366031,68.94189376239618
commonsenseqa,Gemma-7B,Phi-4-Reas.,inverted,inverted,62.600433839980205,0.6260043383998021,6.458541458541458,36.549394752805,False,-1.0,-1.0,-1.0,11.547619047619047,18.006160506160505,0.1921698817003801,0.8181742201001821,24.08337674366031,60.63277149646531
commonsenseqa,Gemma-7B,Qwen2.5-7B,inverted,flat,67.50676029816943,0.6750676029816942,43.11558233433233,63.91734941862221,False,-1.0,-1.0,-1.0,11.547619047619047,54.663201381951374,0.1921698817003801,0.8672374846820743,24.08337674366031,88.00072616228252
commonsenseqa,Gemma-7B,Qwen2.5-Math,inverted,inverted,36.65882872668378,0.3665882872668378,58.22916666666666,48.36068031512741,True,-1.0,-1.0,-1.0,11.547619047619047,69.77678571428571,0.1921698817003801,0.5587581689672179,24.08337674366031,72.44405705878772
commonsenseqa,Gemma-7B,Qwen3-4B,inverted,reliable,51.78263973522876,0.5178263973522876,64.6635656010656,48.90408111074534,True,-1.0,-1.0,-1.0,11.547619047619047,76.21118464868465,0.1921698817003801,0.7099962790526677,24.08337674366031,72.98745785440565
commonsenseqa,LLaMA-3.1-8B,Phi-4,reliable,flat,11.4811601185973,0.114811601185973,35.23019688644689,14.892030533766373,True,-1.0,1.0,-1.0,50.999198717948715,86.2293956043956,0.6888823530730258,0.5740707518870528,54.0498632286298,68.94189376239618
commonsenseqa,LLaMA-3.1-8B,Phi-4-Reas.,reliable,inverted,12.929186702715633,0.12929186702715634,32.99303821178821,6.582908267835506,True,1.0,-1.0,-1.0,50.999198717948715,18.006160506160505,0.6888823530730258,0.8181742201001821,54.0498632286298,60.63277149646531
commonsenseqa,LLaMA-3.1-8B,Qwen2.5-7B,reliable,flat,17.83551316090485,0.17835513160904848,3.664002664002659,33.950862933652715,False,-1.0,-1.0,-1.0,50.999198717948715,54.663201381951374,0.6888823530730258,0.8672374846820743,54.0498632286298,88.00072616228252
commonsenseqa,LLaMA-3.1-8B,Qwen2.5-Math,reliable,inverted,13.012418410580795,0.13012418410580795,18.777586996336993,18.394193830157917,True,-1.0,1.0,-1.0,50.999198717948715,69.77678571428571,0.6888823530730258,0.5587581689672179,54.0498632286298,72.44405705878772
commonsenseqa,LLaMA-3.1-8B,Qwen3-4B,reliable,reliable,2.11139259796419,0.0211139259796419,25.211985930735935,18.937594625775844,True,-1.0,-1.0,-1.0,50.999198717948715,76.21118464868465,0.6888823530730258,0.7099962790526677,54.0498632286298,72.98745785440565
commonsenseqa,Phi-4,Phi-4-Reas.,flat,inverted,24.410346821312935,0.24410346821312934,68.22323509823511,8.309122265930867,True,1.0,-1.0,1.0,86.2293956043956,18.006160506160505,0.5740707518870528,0.8181742201001821,68.94189376239618,60.63277149646531
commonsenseqa,Phi-4,Qwen2.5-7B,flat,flat,29.316673279502147,0.2931667327950215,31.56619422244423,19.05883239988634,True,1.0,-1.0,-1.0,86.2293956043956,54.663201381951374,0.5740707518870528,0.8672374846820743,68.94189376239618,88.00072616228252
commonsenseqa,Phi-4,Qwen2.5-Math,flat,inverted,1.531258291983495,0.01531258291983495,16.452609890109898,3.5021632963915437,True,1.0,1.0,-1.0,86.2293956043956,69.77678571428571,0.5740707518870528,0.5587581689672179,68.94189376239618,72.44405705878772
commonsenseqa,Phi-4,Qwen3-4B,flat,reliable,13.59255271656149,0.1359255271656149,10.018210955710956,4.045564092009471,False,1.0,-1.0,-1.0,86.2293956043956,76.21118464868465,0.5740707518870528,0.7099962790526677,68.94189376239618,72.98745785440565
commonsenseqa,Phi-4-Reas.,Qwen2.5-7B,inverted,flat,4.9063264581892145,0.04906326458189214,36.65704087579087,27.36795466581721,True,-1.0,-1.0,-1.0,18.006160506160505,54.663201381951374,0.8181742201001821,0.8672374846820743,60.63277149646531,88.00072616228252
commonsenseqa,Phi-4-Reas.,Qwen2.5-Math,inverted,inverted,25.94160511329643,0.2594160511329643,51.7706252081252,11.81128556232241,True,-1.0,1.0,-1.0,18.006160506160505,69.77678571428571,0.8181742201001821,0.5587581689672179,60.63277149646531,72.44405705878772
commonsenseqa,Phi-4-Reas.,Qwen3-4B,inverted,reliable,10.817794104751444,0.10817794104751444,58.205024142524145,12.354686357940338,True,-1.0,1.0,-1.0,18.006160506160505,76.21118464868465,0.8181742201001821,0.7099962790526677,60.63277149646531,72.98745785440565
commonsenseqa,Qwen2.5-7B,Qwen2.5-Math,flat,inverted,30.847931571485642,0.30847931571485643,15.113584332334334,15.556669103494798,False,-1.0,1.0,1.0,54.663201381951374,69.77678571428571,0.8672374846820743,0.5587581689672179,88.00072616228252,72.44405705878772
commonsenseqa,Qwen2.5-7B,Qwen3-4B,flat,reliable,15.724120562940659,0.15724120562940658,21.547983266733276,15.01326830787687,True,-1.0,1.0,1.0,54.663201381951374,76.21118464868465,0.8672374846820743,0.7099962790526677,88.00072616228252,72.98745785440565
commonsenseqa,Qwen2.5-Math,Qwen3-4B,inverted,reliable,15.123811008544985,0.15123811008544985,6.434398934398942,0.5434007956179272,False,-1.0,-1.0,-1.0,69.77678571428571,76.21118464868465,0.5587581689672179,0.7099962790526677,72.44405705878772,72.98745785440565
gpqa,DS-R1-1.5B,DS-R1-7B,reliable,reliable,11.661287959493382,0.11661287959493383,10.374625374625367,12.615146631096515,False,-1.0,-1.0,-1.0,58.73995795870796,69.11458333333333,0.3343725808488024,0.4509854604437362,52.85455466455475,65.46970129565126
gpqa,DS-R1-1.5B,Gemma-7B,reliable,inverted,17.38190728320235,0.1738190728320235,29.51376748251749,17.699461550439175,True,1.0,1.0,1.0,58.73995795870796,29.22619047619047,0.3343725808488024,0.1605535080167789,52.85455466455475,35.15509311411557
gpqa,DS-R1-1.5B,LLaMA-3.1-8B,reliable,reliable,7.537762140242349,0.07537762140242349,8.815871628371632,1.3079512103932416,True,1.0,-1.0,1.0,58.73995795870796,49.92408633033633,0.3343725808488024,0.4097502022512259,52.85455466455475,51.546603454161506
gpqa,DS-R1-1.5B,Phi-4,reliable,flat,8.25505561188844,0.0825505561188844,6.86371961371961,1.9909745844727738,False,1.0,1.0,1.0,58.73995795870796,51.87623834498835,0.3343725808488024,0.251822024729918,52.85455466455475,50.863580080081974
gpqa,DS-R1-1.5B,Phi-4-Reas.,reliable,inverted,23.670268459466648,0.23670268459466648,13.381813499000998,10.731547930799252,False,1.0,-1.0,-1.0,58.73995795870796,45.35814445970696,0.3343725808488024,0.5710752654434689,52.85455466455475,63.586102595354
gpqa,DS-R1-1.5B,Qwen2.5-7B,reliable,flat,0.6632809034165632,0.006632809034165632,2.3377143689643702,1.1060612143668536,True,1.0,-1.0,1.0,58.73995795870796,56.40224358974359,0.3343725808488024,0.341005389882968,52.85455466455475,51.748493450187894
gpqa,DS-R1-1.5B,Qwen2.5-Math,reliable,inverted,0.99200061294627,0.0099200061294627,7.805892024642027,0.8527491257261417,True,1.0,1.0,-1.0,58.73995795870796,50.934065934065934,0.3343725808488024,0.3244525747193397,52.85455466455475,53.70730379028089
gpqa,DS-R1-1.5B,Qwen3-4B,reliable,reliable,23.179629452749616,0.23179629452749617,1.515879953379958,1.8702749675526178,False,-1.0,-1.0,-1.0,58.73995795870796,60.25583791208792,0.3343725808488024,0.5661688753762986,52.85455466455475,54.724829632107365
gpqa,DS-R1-7B,Gemma-7B,reliable,inverted,29.04319524269573,0.2904319524269573,39.88839285714286,30.31460818153569,True,1.0,1.0,1.0,69.11458333333333,29.22619047619047,0.4509854604437362,0.1605535080167789,65.46970129565126,35.15509311411557
gpqa,DS-R1-7B,LLaMA-3.1-8B,reliable,reliable,4.123525819251034,0.04123525819251034,19.190497002997,13.923097841489756,True,1.0,1.0,1.0,69.11458333333333,49.92408633033633,0.4509854604437362,0.4097502022512259,65.46970129565126,51.546603454161506
gpqa,DS-R1-7B,Phi-4,reliable,flat,19.916343571381823,0.19916343571381823,17.238344988344977,14.606121215569289,False,1.0,1.0,1.0,69.11458333333333,51.87623834498835,0.4509854604437362,0.251822024729918,65.46970129565126,50.863580080081974
gpqa,DS-R1-7B,Phi-4-Reas.,reliable,inverted,12.008980499973266,0.12008980499973265,23.756438873626365,1.883598700297263,True,1.0,-1.0,1.0,69.11458333333333,45.35814445970696,0.4509854604437362,0.5710752654434689,65.46970129565126,63.586102595354
gpqa,DS-R1-7B,Qwen2.5-7B,reliable,flat,10.998007056076819,0.1099800705607682,12.712339743589737,13.721207845463368,True,1.0,1.0,1.0,69.11458333333333,56.40224358974359,0.4509854604437362,0.341005389882968,65.46970129565126,51.748493450187894
gpqa,DS-R1-7B,Qwen2.5-Math,reliable,inverted,12.653288572439653,0.12653288572439653,18.180517399267394,11.762397505370373,True,1.0,1.0,1.0,69.11458333333333,50.934065934065934,0.4509854604437362,0.3244525747193397,65.46970129565126,53.70730379028089
gpqa,DS-R1-7B,Qwen3-4B,reliable,reliable,11.518341493256234,0.11518341493256234,8.858745421245409,10.744871663543897,False,1.0,-1.0,1.0,69.11458333333333,60.25583791208792,0.4509854604437362,0.5661688753762986,65.46970129565126,54.724829632107365
