model,dataset,top_k_pct,accuracy,n_traces,n_total
Qwen3-4B,AQuA,50,51.57,2032,4064
Qwen3-4B,CommonsenseQA,10,84.49,1954,19536
Qwen3-4B,CommonsenseQA,20,78.33,3908,19536
Qwen3-4B,CommonsenseQA,30,74.95,5861,19536
Qwen3-4B,CommonsenseQA,40,72.83,7815,19536
Qwen3-4B,CommonsenseQA,50,70.77,9768,19536
Qwen3-4B,GPQA,10,62.9,717,7168
Qwen3-4B,GPQA,20,58.23,1434,7168
Qwen3-4B,GPQA,30,57.74,2151,7168
Qwen3-4B,GPQA,40,57.31,2867,7168
Qwen3-4B,GPQA,50,56.72,3584,7168
Qwen3-4B,GSM8K,10,92.14,2111,21104
Qwen3-4B,GSM8K,20,91.12,4221,21104
Qwen3-4B,GSM8K,30,88.63,6331,21104
Qwen3-4B,GSM8K,40,85.87,8442,21104
Qwen3-4B,GSM8K,50,83.41,10552,21104
Qwen3-4B,MATH500,10,27.0,800,8000
Qwen3-4B,MATH500,20,31.06,1600,8000
Qwen3-4B,MATH500,30,34.83,2400,8000
Qwen3-4B,MATH500,40,36.62,3200,8000
Qwen3-4B,MATH500,50,39.02,4000,8000
Qwen3-4B,SVAMP,10,88.0,1600,16000
Qwen3-4B,SVAMP,20,87.94,3200,16000
Qwen3-4B,SVAMP,30,86.88,4800,16000
Qwen3-4B,SVAMP,40,85.64,6400,16000
Qwen3-4B,SVAMP,50,83.93,8000,16000
