model,benchmark,cumulative_label,n_cumulative_bins,frs_cumulative
Qwen2.5-Math,AQuA,k50,5,91.31944444444444
Qwen2.5-Math,CommonsenseQA,k20,2,86.98770491803279
Qwen2.5-Math,CommonsenseQA,k30,3,87.4320652173913
Qwen2.5-Math,CommonsenseQA,k40,4,84.375
Qwen2.5-Math,CommonsenseQA,k50,5,83.28703703703704
Qwen2.5-Math,GPQA,k20,2,63.16489361702128
Qwen2.5-Math,GPQA,k30,3,59.76027397260274
Qwen2.5-Math,GPQA,k40,4,58.9622641509434
Qwen2.5-Math,GPQA,k50,5,57.67045454545455
Qwen2.5-Math,GSM8K,k20,2,98.08673469387755
Qwen2.5-Math,GSM8K,k30,3,97.46621621621621
Qwen2.5-Math,GSM8K,k40,4,97.31182795698925
Qwen2.5-Math,GSM8K,k50,5,97.240990990991
Qwen2.5-Math,MATH500,k20,2,94.07327586206897
Qwen2.5-Math,MATH500,k30,3,94.97282608695652
Qwen2.5-Math,MATH500,k40,4,95.26041666666667
Qwen2.5-Math,MATH500,k50,5,95.35472972972973
Qwen2.5-Math,SVAMP,k20,2,100.0
Qwen2.5-Math,SVAMP,k30,3,99.25
Qwen2.5-Math,SVAMP,k40,4,98.875
Qwen2.5-Math,SVAMP,k50,5,98.33333333333333
Qwen3-4B,AQuA,k20,2,78.34051724137932
Qwen3-4B,AQuA,k30,3,80.01453488372093
Qwen3-4B,AQuA,k40,4,77.80373831775701
Qwen3-4B,AQuA,k50,5,75.46487603305785
Qwen3-4B,CommonsenseQA,k20,2,86.86440677966101
Qwen3-4B,CommonsenseQA,k30,3,87.12797619047619
Qwen3-4B,CommonsenseQA,k40,4,85.39663461538461
Qwen3-4B,CommonsenseQA,k50,5,84.375
Qwen3-4B,GPQA,k20,2,58.5
Qwen3-4B,GPQA,k30,3,61.13782051282051
Qwen3-4B,GPQA,k40,4,59.66494845360825
Qwen3-4B,GPQA,k50,5,60.07231404958678
Qwen3-4B,GSM8K,k20,2,93.75
Qwen3-4B,GSM8K,k30,3,92.75
Qwen3-4B,GSM8K,k40,4,93.99271844660194
Qwen3-4B,GSM8K,k50,5,93.39430894308943
Qwen3-4B,MATH500,k20,2,96.65697674418605
Qwen3-4B,MATH500,k30,3,96.6188524590164
Qwen3-4B,MATH500,k40,4,93.82530120481928
Qwen3-4B,MATH500,k50,5,86.328125
Qwen3-4B,SVAMP,k20,2,92.98245614035088
Qwen3-4B,SVAMP,k30,3,93.59756097560975
Qwen3-4B,SVAMP,k40,4,92.71788990825688
Qwen3-4B,SVAMP,k50,5,92.50886524822695
