split,seed,model,benchmark,regime,frs_cal,acc_cal,bon_reasoning,bon_accuracy,random_reasoning,random_accuracy,lift
5,47,Phi-4,commonsenseqa,flat,88.46153846153847,0.6141732283464567,67.17391304347827,0.5478260869565217,66.66666666666667,0.5449275362318841,0.5072463768115938
5,47,Phi-4,gpqa,flat,50.0,0.2642857142857143,50.07183908045977,0.19540229885057472,50.419061302681996,0.20593869731800762,-0.34722222222222854
5,47,Phi-4,gsm8k,flat,89.58333333333333,0.5583333333333333,91.21767241379311,0.6379310344827587,91.10991379310344,0.6206896551724138,0.10775862068966546
5,47,Phi-4,math500,flat,71.875,0.518796992481203,77.55102040816327,0.5204081632653061,77.63605442176872,0.5119047619047619,-0.08503401360545126
5,47,Phi-4,svamp,flat,85.22727272727273,0.5181818181818182,81.04674796747967,0.5609756097560976,80.47933604336042,0.5691056910569106,0.5674119241192557
5,47,Phi-4-Reas.,aqua,inverted,82.21153846153847,0.7272727272727273,82.46753246753246,0.5844155844155844,84.46969696969697,0.5878787878787879,-2.0021645021645043
5,47,Phi-4-Reas.,commonsenseqa,inverted,16.826923076923077,0.7952755905511811,61.23853211009175,0.8256880733944955,62.471330275229356,0.8302752293577982,-1.2327981651376092
5,47,Phi-4-Reas.,gpqa,inverted,50.48076923076923,0.56,64.84375,0.625,64.51231060606061,0.6363636363636364,0.3314393939393909
5,47,Phi-4-Reas.,gsm8k,inverted,74.51923076923077,0.984375,94.28418803418803,0.9914529914529915,94.20405982905983,0.9914529914529915,0.0801282051282044
5,47,Phi-4-Reas.,math500,inverted,55.28846153846154,0.905511811023622,87.63440860215054,0.9139784946236559,87.41039426523297,0.9032258064516129,0.22401433691757688
5,47,Phi-4-Reas.,svamp,inverted,66.96428571428571,0.9926470588235294,92.23300970873787,0.9805825242718447,92.59708737864078,0.9805825242718447,-0.3640776699029118
5,47,Qwen2.5-7B,aqua,flat,72.91666666666667,0.7310924369747899,70.9104938271605,0.7407407407407407,66.64737654320987,0.6635802469135802,4.263117283950621
5,47,Qwen2.5-7B,commonsenseqa,flat,61.160714285714285,0.8939393939393939,85.47453703703704,0.8333333333333334,85.64814814814815,0.8333333333333334,-0.17361111111111427
5,47,Qwen2.5-7B,gpqa,flat,64.90384615384616,0.3548387096774194,49.32065217391305,0.34782608695652173,49.77921195652174,0.34873188405797095,-0.45855978260869534
