benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,signed_pass1_gap,signed_frs_gap,abs_pass1_gap,abs_frs_gap
GPQA,Phi-4,Qwen2.5-7B,29.7,35.9,48.4,55.1,-6.199999999999999,-6.700000000000003,6.199999999999999,6.700000000000003
GPQA,Phi-4,Qwen2.5-Math,29.7,24.3,48.4,54.6,5.399999999999999,-6.200000000000003,5.399999999999999,6.200000000000003
GPQA,Phi-4,Qwen3-4B,29.7,60.5,48.4,58.8,-30.8,-10.399999999999999,30.8,10.399999999999999
GPQA,Phi-4-Reas.,Qwen2.5-7B,44.0,35.9,62.3,55.1,8.100000000000001,7.199999999999996,8.100000000000001,7.199999999999996
GPQA,Phi-4-Reas.,Qwen2.5-Math,44.0,24.3,62.3,54.6,19.7,7.699999999999996,19.7,7.699999999999996
GPQA,Phi-4-Reas.,Qwen3-4B,44.0,60.5,62.3,58.8,-16.5,3.5,16.5,3.5
GPQA,Qwen2.5-7B,Qwen2.5-Math,35.9,24.3,55.1,54.6,11.599999999999998,0.5,11.599999999999998,0.5
GPQA,Qwen2.5-7B,Qwen3-4B,35.9,60.5,55.1,58.8,-24.6,-3.6999999999999957,24.6,3.6999999999999957
GPQA,Qwen2.5-Math,Qwen3-4B,24.3,60.5,54.6,58.8,-36.2,-4.199999999999996,36.2,4.199999999999996
GSM8K,DS-R1-1.5B,DS-R1-7B,60.1,91.5,95.1,98.9,-31.4,-3.8000000000000114,31.4,3.8000000000000114
GSM8K,DS-R1-1.5B,Gemma-7B,60.1,36.9,95.1,41.2,23.200000000000003,53.89999999999999,23.200000000000003,53.89999999999999
GSM8K,DS-R1-1.5B,LLaMA-3.1-8B,60.1,81.3,95.1,79.9,-21.199999999999996,15.199999999999989,21.199999999999996,15.199999999999989
GSM8K,DS-R1-1.5B,Phi-4,60.1,93.0,95.1,91.5,-32.9,3.5999999999999943,32.9,3.5999999999999943
GSM8K,DS-R1-1.5B,Phi-4-Reas.,60.1,95.4,95.1,84.5,-35.300000000000004,10.599999999999994,35.300000000000004,10.599999999999994
GSM8K,DS-R1-1.5B,Qwen2.5-7B,60.1,90.9,95.1,65.6,-30.800000000000004,29.5,30.800000000000004,29.5
GSM8K,DS-R1-1.5B,Qwen2.5-Math,60.1,84.55,95.1,90.8,-24.449999999999996,4.299999999999997,24.449999999999996,4.299999999999997
GSM8K,DS-R1-1.5B,Qwen3-4B,60.1,72.2,95.1,90.9,-12.100000000000001,4.199999999999989,12.100000000000001,4.199999999999989
GSM8K,DS-R1-7B,Gemma-7B,91.5,36.9,98.9,41.2,54.6,57.7,54.6,57.7
GSM8K,DS-R1-7B,LLaMA-3.1-8B,91.5,81.3,98.9,79.9,10.200000000000003,19.0,10.200000000000003,19.0
GSM8K,DS-R1-7B,Phi-4,91.5,93.0,98.9,91.5,-1.5,7.400000000000006,1.5,7.400000000000006
GSM8K,DS-R1-7B,Phi-4-Reas.,91.5,95.4,98.9,84.5,-3.9000000000000057,14.400000000000006,3.9000000000000057,14.400000000000006
