benchmark,tie_metric,tolerance_pp,model_a,model_b,predictor,correct_direction,abs_tie_gap
GSM8K,pass16_pct,2.0,DS-R1-1.5B,Qwen2.5-7B,frs_pct,False,1.819560272934055
GSM8K,pass16_pct,2.0,DS-R1-1.5B,Qwen2.5-7B,pass1_pct,True,1.819560272934055
GSM8K,pass16_pct,2.0,DS-R1-1.5B,Qwen2.5-7B,pass16_pct,True,1.819560272934055
GSM8K,pass16_pct,2.0,DS-R1-1.5B,Qwen2.5-7B,high_conf_accuracy_pct,False,1.819560272934055
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen2.5-7B,frs_pct,False,1.819560272934055
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen2.5-7B,pass1_pct,True,1.819560272934055
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen2.5-7B,pass16_pct,True,1.819560272934055
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen2.5-7B,high_conf_accuracy_pct,False,1.819560272934055
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen2.5-7B,frs_pct,False,1.819560272934055
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen2.5-7B,pass1_pct,True,1.819560272934055
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen2.5-7B,pass16_pct,True,1.819560272934055
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen2.5-7B,high_conf_accuracy_pct,False,1.819560272934055
GSM8K,pass16_pct,3.0,DS-R1-1.5B,LLaMA-3.1-8B,frs_pct,False,2.047005307050796
GSM8K,pass16_pct,3.0,DS-R1-1.5B,LLaMA-3.1-8B,pass1_pct,True,2.047005307050796
GSM8K,pass16_pct,3.0,DS-R1-1.5B,LLaMA-3.1-8B,pass16_pct,True,2.047005307050796
GSM8K,pass16_pct,3.0,DS-R1-1.5B,LLaMA-3.1-8B,high_conf_accuracy_pct,False,2.047005307050796
GSM8K,pass16_pct,5.0,DS-R1-1.5B,LLaMA-3.1-8B,frs_pct,False,2.047005307050796
GSM8K,pass16_pct,5.0,DS-R1-1.5B,LLaMA-3.1-8B,pass1_pct,True,2.047005307050796
GSM8K,pass16_pct,5.0,DS-R1-1.5B,LLaMA-3.1-8B,pass16_pct,True,2.047005307050796
GSM8K,pass16_pct,5.0,DS-R1-1.5B,LLaMA-3.1-8B,high_conf_accuracy_pct,False,2.047005307050796
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Gemma-7B,frs_pct,True,3.7149355572403238
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Gemma-7B,pass1_pct,True,3.7149355572403238
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Gemma-7B,pass16_pct,True,3.7149355572403238
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Gemma-7B,high_conf_accuracy_pct,True,3.7149355572403238
GSM8K,pass16_pct,2.0,Qwen3-4B,Phi-4,frs_pct,True,1.2130401819560461
GSM8K,pass16_pct,2.0,Qwen3-4B,Phi-4,pass1_pct,True,1.2130401819560461
GSM8K,pass16_pct,2.0,Qwen3-4B,Phi-4,pass16_pct,True,1.2130401819560461
GSM8K,pass16_pct,2.0,Qwen3-4B,Phi-4,high_conf_accuracy_pct,False,1.2130401819560461
GSM8K,pass16_pct,3.0,Qwen3-4B,Phi-4,frs_pct,True,1.2130401819560461
GSM8K,pass16_pct,3.0,Qwen3-4B,Phi-4,pass1_pct,True,1.2130401819560461
GSM8K,pass16_pct,3.0,Qwen3-4B,Phi-4,pass16_pct,True,1.2130401819560461
GSM8K,pass16_pct,3.0,Qwen3-4B,Phi-4,high_conf_accuracy_pct,False,1.2130401819560461
GSM8K,pass16_pct,5.0,Qwen3-4B,Phi-4,frs_pct,True,1.2130401819560461
GSM8K,pass16_pct,5.0,Qwen3-4B,Phi-4,pass1_pct,True,1.2130401819560461
GSM8K,pass16_pct,5.0,Qwen3-4B,Phi-4,pass16_pct,True,1.2130401819560461
GSM8K,pass16_pct,5.0,Qwen3-4B,Phi-4,high_conf_accuracy_pct,False,1.2130401819560461
GSM8K,pass16_pct,2.0,Qwen3-4B,Qwen2.5-Math,frs_pct,False,1.5921152388172999
GSM8K,pass16_pct,2.0,Qwen3-4B,Qwen2.5-Math,pass1_pct,True,1.5921152388172999
GSM8K,pass16_pct,2.0,Qwen3-4B,Qwen2.5-Math,pass16_pct,True,1.5921152388172999
GSM8K,pass16_pct,2.0,Qwen3-4B,Qwen2.5-Math,high_conf_accuracy_pct,False,1.5921152388172999
GSM8K,pass16_pct,3.0,Qwen3-4B,Qwen2.5-Math,frs_pct,False,1.5921152388172999
GSM8K,pass16_pct,3.0,Qwen3-4B,Qwen2.5-Math,pass1_pct,True,1.5921152388172999
GSM8K,pass16_pct,3.0,Qwen3-4B,Qwen2.5-Math,pass16_pct,True,1.5921152388172999
GSM8K,pass16_pct,3.0,Qwen3-4B,Qwen2.5-Math,high_conf_accuracy_pct,False,1.5921152388172999
GSM8K,pass16_pct,5.0,Qwen3-4B,Qwen2.5-Math,frs_pct,False,1.5921152388172999
GSM8K,pass16_pct,5.0,Qwen3-4B,Qwen2.5-Math,pass1_pct,True,1.5921152388172999
GSM8K,pass16_pct,5.0,Qwen3-4B,Qwen2.5-Math,pass16_pct,True,1.5921152388172999
GSM8K,pass16_pct,5.0,Qwen3-4B,Qwen2.5-Math,high_conf_accuracy_pct,False,1.5921152388172999
GSM8K,pass16_pct,2.0,Qwen3-4B,Phi-4-Reas.,frs_pct,False,1.5163002274450434
GSM8K,pass16_pct,2.0,Qwen3-4B,Phi-4-Reas.,pass1_pct,True,1.5163002274450434
GSM8K,pass16_pct,2.0,Qwen3-4B,Phi-4-Reas.,pass16_pct,True,1.5163002274450434
GSM8K,pass16_pct,2.0,Qwen3-4B,Phi-4-Reas.,high_conf_accuracy_pct,True,1.5163002274450434
GSM8K,pass16_pct,3.0,Qwen3-4B,Phi-4-Reas.,frs_pct,False,1.5163002274450434
GSM8K,pass16_pct,3.0,Qwen3-4B,Phi-4-Reas.,pass1_pct,True,1.5163002274450434
