benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,pass1_gap_pp,frs_gap_pp,trace0_a,trace0_b,trace0_gap_pp,unfiltered_a,unfiltered_b,unfiltered_gap_pp,frs_gt_trace0,frs_gt_unfiltered
GSM8K,Qwen3-4B,Gemma-7B,72.2,36.9,90.9,41.2,35.300000000000004,49.7,82.5,49.5,33.0,81.375,51.31250000000001,30.062499999999993,True,True
GSM8K,Phi-4,Qwen2.5-Math,93.0,84.55,91.5,90.8,8.450000000000003,0.7000000000000028,73.875,88.125,14.25,89.5,90.1875,0.6875,False,True
GSM8K,Phi-4,Phi-4-Reas.,93.0,95.4,91.5,84.5,2.4000000000000057,7.0,73.875,83.5,9.625,89.5,94.4375,4.9375,False,True
GSM8K,Phi-4,Qwen2.5-7B,93.0,90.9,91.5,65.6,2.0999999999999943,25.900000000000006,73.875,72.875,1.0,89.5,78.5625,10.9375,True,True
GSM8K,Phi-4,LLaMA-3.1-8B,93.0,81.3,91.5,79.9,11.700000000000003,11.599999999999994,73.875,73.375,0.5,89.5,82.5,7.0,True,True
GSM8K,Phi-4,Gemma-7B,93.0,36.9,91.5,41.2,56.1,50.3,73.875,49.5,24.375,89.5,51.31250000000001,38.18749999999999,True,True
GSM8K,Qwen2.5-Math,Phi-4-Reas.,84.55,95.4,90.8,84.5,10.850000000000009,6.299999999999997,88.125,83.5,4.625,90.1875,94.4375,4.25,True,True
GSM8K,Qwen2.5-Math,Qwen2.5-7B,84.55,90.9,90.8,65.6,6.3500000000000085,25.200000000000003,88.125,72.875,15.25,90.1875,78.5625,11.625,True,True
GSM8K,Qwen2.5-Math,LLaMA-3.1-8B,84.55,81.3,90.8,79.9,3.25,10.899999999999991,88.125,73.375,14.75,90.1875,82.5,7.6875,False,True
GSM8K,Qwen2.5-Math,Gemma-7B,84.55,36.9,90.8,41.2,47.65,49.599999999999994,88.125,49.5,38.625,90.1875,51.31250000000001,38.87499999999999,True,True
GSM8K,Phi-4-Reas.,Qwen2.5-7B,95.4,90.9,84.5,65.6,4.5,18.900000000000006,83.5,72.875,10.625,94.4375,78.5625,15.875,True,True
GSM8K,Phi-4-Reas.,LLaMA-3.1-8B,95.4,81.3,84.5,79.9,14.100000000000009,4.599999999999994,83.5,73.375,10.125,94.4375,82.5,11.9375,False,False
GSM8K,Phi-4-Reas.,Gemma-7B,95.4,36.9,84.5,41.2,58.50000000000001,43.3,83.5,49.5,34.0,94.4375,51.31250000000001,43.12499999999999,True,True
GSM8K,Qwen2.5-7B,LLaMA-3.1-8B,90.9,81.3,65.6,79.9,9.600000000000009,14.300000000000011,72.875,73.375,0.5,78.5625,82.5,3.9375,True,True
GSM8K,Qwen2.5-7B,Gemma-7B,90.9,36.9,65.6,41.2,54.00000000000001,24.39999999999999,72.875,49.5,23.375,78.5625,51.31250000000001,27.249999999999993,True,False
