model,benchmark,subset_dims,subset_label,subset_size,frs_pct,n_traces
Gemma-7B,AQuA,coherence|factuality,C+Fa,2,26.25,50
Gemma-7B,AQuA,coherence|utility,C+U,2,17.5,50
Gemma-7B,AQuA,coherence|utility|factuality,C+U+Fa,3,22.666666666666664,50
Gemma-7B,AQuA,factuality,Fa,1,33.0,50
Gemma-7B,AQuA,faithfulness,F,1,21.0,50
Gemma-7B,AQuA,faithfulness|coherence,F+C,2,20.25,50
Gemma-7B,AQuA,faithfulness|coherence|factuality,F+C+Fa,3,24.5,50
Gemma-7B,AQuA,faithfulness|coherence|utility,F+C+U,3,18.666666666666664,50
Gemma-7B,AQuA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,22.25,50
Gemma-7B,AQuA,faithfulness|factuality,F+Fa,2,27.0,50
Gemma-7B,AQuA,faithfulness|utility,F+U,2,18.25,50
Gemma-7B,AQuA,faithfulness|utility|factuality,F+U+Fa,3,23.166666666666664,50
Gemma-7B,AQuA,utility,U,1,15.5,50
Gemma-7B,AQuA,utility|factuality,U+Fa,2,24.25,50
Gemma-7B,CSQA,coherence,C,1,11.5,50
Gemma-7B,CSQA,coherence|factuality,C+Fa,2,15.5,50
Gemma-7B,CSQA,coherence|utility,C+U,2,11.0,50
Gemma-7B,CSQA,coherence|utility|factuality,C+U+Fa,3,13.833333333333332,50
Gemma-7B,CSQA,factuality,Fa,1,19.5,50
Gemma-7B,CSQA,faithfulness,F,1,12.0,50
Gemma-7B,CSQA,faithfulness|coherence,F+C,2,11.75,50
Gemma-7B,CSQA,faithfulness|coherence|factuality,F+C+Fa,3,14.333333333333332,50
Gemma-7B,CSQA,faithfulness|coherence|utility,F+C+U,3,11.333333333333332,50
Gemma-7B,CSQA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,13.375,50
Gemma-7B,CSQA,faithfulness|factuality,F+Fa,2,15.75,50
Gemma-7B,CSQA,faithfulness|utility,F+U,2,11.25,50
Gemma-7B,CSQA,faithfulness|utility|factuality,F+U+Fa,3,14.0,50
Gemma-7B,CSQA,utility,U,1,10.5,50
Gemma-7B,CSQA,utility|factuality,U+Fa,2,15.0,50
Gemma-7B,GPQA,coherence,C,1,39.0,50
Gemma-7B,GPQA,coherence|factuality,C+Fa,2,37.75,50
Gemma-7B,GPQA,coherence|utility,C+U,2,31.5,50
Gemma-7B,GPQA,coherence|utility|factuality,C+U+Fa,3,33.166666666666664,50
Gemma-7B,GPQA,factuality,Fa,1,36.5,50
Gemma-7B,GPQA,faithfulness,F,1,24.0,50
Gemma-7B,GPQA,faithfulness|coherence,F+C,2,31.5,50
Gemma-7B,GPQA,faithfulness|coherence|factuality,F+C+Fa,3,33.166666666666664,50
Gemma-7B,GPQA,faithfulness|coherence|utility,F+C+U,3,28.999999999999996,50
Gemma-7B,GPQA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,30.875,50
Gemma-7B,GPQA,faithfulness|factuality,F+Fa,2,30.25,50
Gemma-7B,GPQA,faithfulness|utility,F+U,2,24.0,50
Gemma-7B,GPQA,faithfulness|utility|factuality,F+U+Fa,3,28.166666666666664,50
Gemma-7B,GPQA,utility,U,1,24.0,50
Gemma-7B,GPQA,utility|factuality,U+Fa,2,30.25,50
Gemma-7B,GSM8K,coherence,C,1,42.0,50
Gemma-7B,GSM8K,coherence|factuality,C+Fa,2,44.0,50
Gemma-7B,GSM8K,coherence|utility,C+U,2,40.75,50
Gemma-7B,GSM8K,coherence|utility|factuality,C+U+Fa,3,42.5,50
Gemma-7B,GSM8K,factuality,Fa,1,46.0,50
Gemma-7B,GSM8K,faithfulness,F,1,37.5,50
Gemma-7B,GSM8K,faithfulness|coherence,F+C,2,39.75,50
Gemma-7B,GSM8K,faithfulness|coherence|factuality,F+C+Fa,3,41.83333333333333,50
Gemma-7B,GSM8K,faithfulness|coherence|utility,F+C+U,3,39.666666666666664,50
Gemma-7B,GSM8K,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,41.25,50
Gemma-7B,GSM8K,faithfulness|factuality,F+Fa,2,41.75,50
Gemma-7B,GSM8K,faithfulness|utility,F+U,2,38.5,50
