model,dataset,bin_label,bin_start_pct,bin_end_pct,total_traces_in_bin,sampled_traces,random_seed,mean_reasoning_score,std_reasoning_score,stderr_reasoning_score,ci_lower,ci_upper,bootstrap_ci_lower,bootstrap_ci_upper,mean_accuracy_population
Phi-4-Reas.,GPQA,40-50,40.0,50.0,716,50,269235209,0.6025,0.22223355980148637,0.03142857142857143,0.5393419211187953,0.6656580788812048,0.5437187499999999,0.6663124999999996,0.46089385474860334
Phi-4-Reas.,GSM8K,0-10,0.0,10.0,2111,50,377355708,0.845,0.18781436232055726,0.026560961840218646,0.791623748811562,0.898376251188438,0.78875,0.89375,0.9602084320227381
Phi-4-Reas.,GSM8K,10-20,10.0,20.0,2110,50,1645315419,0.9675,0.10582523135735038,0.014965947742683543,0.937424802016133,0.9975751979838671,0.93375,0.99375,0.9838862559241706
Phi-4-Reas.,GSM8K,20-30,20.0,30.0,2111,50,532345002,0.98375,0.053287940397774194,0.007536052802146141,0.9686057349031088,0.9988942650968913,0.9675,0.9975,0.9711037423022264
Phi-4-Reas.,GSM8K,30-40,30.0,40.0,2110,50,2098151886,0.9525,0.10903098230338391,0.015419309389230645,0.9215137376777678,0.9834862623222322,0.92,0.98,0.9748815165876777
Phi-4-Reas.,GSM8K,40-50,40.0,50.0,2110,50,383871430,0.9575,0.1296581061476525,0.018336425218562054,0.9206515739433057,0.9943484260566944,0.91875,0.9875312499999999,0.9672985781990522
Phi-4-Reas.,MATH500,0-10,0.0,10.0,800,50,156507676,0.8,0.2525381361380527,0.03571428571428571,0.728229455816813,0.8717705441831871,0.725,0.865,0.885
Phi-4-Reas.,MATH500,10-20,10.0,20.0,800,50,166417450,0.9,0.15152288168283162,0.02142857142857143,0.8569376734900878,0.9430623265099123,0.85746875,0.9387812499999998,0.915
Phi-4-Reas.,MATH500,20-30,20.0,30.0,800,50,744159515,0.9125,0.13832083379312204,0.01956151991089879,0.8731896539864472,0.9518103460135527,0.8712187499999999,0.9475,0.935
Phi-4-Reas.,MATH500,30-40,30.0,40.0,800,50,1350047621,0.90875,0.15882319941831355,0.022460992263686568,0.863612946145544,0.9538870538544559,0.8662187499999999,0.94875,0.92
