model,benchmark,k,mean_recall,std_recall,mean_jaccard,std_jaccard,mean_precision,std_precision,mean_snr_k8,std_snr_k8,snr_k16,regime_flip_rate,mean_scored_overlap,std_scored_overlap,mean_partial_frs,frs_k16
Phi-4,GPQA,8,0.992200557103064,0.011538894249140936,0.49490887567540387,0.0085477863658017,0.49679218967921895,0.0057774937732797856,-0.25064707150638665,0.029367376829870253,-0.26601741204999513,0.0,23.5,4.177319714841085,47.0947214771943,48.375
Phi-4,GPQA,4,0.9594444444444445,0.04090413363155546,0.23856460167807853,0.012541916468040478,0.24086471408647142,0.010268820158549487,-0.276011983511816,0.046331295298844194,-0.26601741204999513,0.0,12.8,3.6823905279043943,48.752333603896105,48.375
Phi-4,GSM8K,8,0.9958333333333332,0.0071394230397616425,0.4971352986598688,0.005307033162000929,0.4981525343439128,0.0035714025248641764,-0.1395541038134075,0.015511497577847196,-0.13543013169971324,0.0,23.8,4.1182520563948,91.53140478885385,91.5
Phi-4,GSM8K,4,0.9897727272727274,0.012878787878787877,0.24694158109843398,0.003994457270876422,0.24756039791567974,0.0032212221695878626,-0.12518475464967416,0.014178072507123947,-0.13543013169971324,0.0,12.6,3.2619012860600183,90.25890775890775,91.5
Phi-4,MATH500,8,0.9875,0.011510864433221342,0.49073190622007423,0.008510466181615082,0.49375,0.005755432216610671,0.014437203215074338,0.017371047538431272,0.019148216284445258,0.3,24.6,3.0397368307141326,73.87493806879583,74.375
Phi-4,MATH500,4,0.9864999999999998,0.02037768387231485,0.24582735488292076,0.006285765482295574,0.24662499999999996,0.005094420968078712,0.012633173418762734,0.025671085408674445,0.019148216284445258,0.3,11.3,3.0016662039607267,79.29858943140194,74.375
Phi-4,SVAMP,8,0.9881249999999999,0.016688787403523368,0.49124812266159684,0.012272849938954365,0.49406249999999996,0.008344393701761684,-0.1416363752874208,0.008771527266784969,-0.14794611579617392,0.0,27.6,4.1521078984053394,77.99860288109913,75.5
Phi-4,SVAMP,4,0.9817500000000001,0.01666020708154616,0.2443440821787231,0.005138523186513727,0.24543750000000003,0.00416505177038654,-0.14661960844249747,0.026234660052136056,-0.14794611579617392,0.0,12.9,2.2113344387495983,75.78689753873577,75.5
Phi-4-Reas.,AQuA,8,0.9627450980392156,0.03977541720608,0.474266118571064,0.028438040304459934,0.4825552825552825,0.019936572751941817,0.41932756018107253,0.028526626041498505,0.4123489947562114,0.0,25.4,3.2310988842807022,83.07292662048097,83.25
Phi-4-Reas.,AQuA,4,0.9558823529411766,0.04926409618196514,0.2371205763058318,0.014949532011026523,0.23955773955773957,0.012346284546831565,0.4180567064087188,0.053013088347613806,0.4123489947562114,0.0,11.5,2.4186773244895647,80.1844925907426,83.25
