model,benchmark,resample_id,k,recall,precision,jaccard,snr_k16,snr_k8,regime_flip,num_scored_in_overlap,partial_frs_estimate
DS-R1-1.5B,SVAMP,8,8,0.98,0.49,0.48514851485148514,0.48884767526520545,0.4800053394630688,False,28,99.33035714285714
DS-R1-1.5B,SVAMP,9,8,0.98375,0.491875,0.4879107253564786,0.48884767526520545,0.52323624485177,False,26,97.35576923076923
DS-R1-1.5B,SVAMP,0,4,0.945,0.23625,0.23304562268803947,0.48884767526520545,0.4574728734318833,False,12,94.27083333333333
DS-R1-1.5B,SVAMP,1,4,0.91,0.2275,0.22249388753056235,0.48884767526520545,0.4465256624138814,False,14,98.66071428571429
DS-R1-1.5B,SVAMP,2,4,0.985,0.24625,0.24533001245330013,0.48884767526520545,0.4514633014112958,False,12,94.27083333333333
DS-R1-1.5B,SVAMP,3,4,1.0,0.25,0.25,0.48884767526520545,0.4665547230995976,False,9,100.0
DS-R1-1.5B,SVAMP,4,4,0.9325,0.233125,0.2292562999385372,0.48884767526520545,0.48627048369061826,False,13,96.15384615384616
DS-R1-1.5B,SVAMP,5,4,1.0,0.25,0.25,0.48884767526520545,0.4588514507297396,False,15,95.41666666666667
DS-R1-1.5B,SVAMP,6,4,0.95,0.2375,0.2345679012345679,0.48884767526520545,0.49370409787314284,False,14,95.08928571428571
DS-R1-1.5B,SVAMP,7,4,1.0,0.25,0.25,0.48884767526520545,0.4421739837814144,False,11,98.29545454545455
DS-R1-1.5B,SVAMP,8,4,0.9825,0.245625,0.2445550715619166,0.48884767526520545,0.5119672473263343,False,12,94.27083333333333
DS-R1-1.5B,SVAMP,9,4,0.935,0.23375,0.23001230012300122,0.48884767526520545,0.5663094876228043,False,11,100.0
DS-R1-7B,AQuA,0,8,0.9019607843137255,0.4520884520884521,0.4309133489461358,0.82838090427552,0.903521469620195,False,21,99.10714285714286
DS-R1-7B,AQuA,1,8,1.0,0.5012285012285013,0.5012285012285013,0.82838090427552,0.800725876414619,False,17,94.48529411764706
DS-R1-7B,AQuA,2,8,1.0,0.5012285012285013,0.5012285012285013,0.82838090427552,0.8378434865821193,False,27,97.68518518518519
DS-R1-7B,AQuA,3,8,1.0,0.5012285012285013,0.5012285012285013,0.82838090427552,0.7891112059350912,False,27,95.13888888888889
DS-R1-7B,AQuA,4,8,0.9754901960784313,0.48894348894348894,0.4830097087378641,0.82838090427552,0.8131513503777219,False,26,95.67307692307692
DS-R1-7B,AQuA,5,8,1.0,0.5012285012285013,0.5012285012285013,0.82838090427552,0.8219417611489421,False,23,97.01086956521739
DS-R1-7B,AQuA,6,8,0.9705882352941176,0.4864864864864865,0.4794188861985472,0.82838090427552,0.8592493190101681,False,24,95.57291666666667
DS-R1-7B,AQuA,7,8,1.0,0.5012285012285013,0.5012285012285013,0.82838090427552,0.919075084061476,False,33,96.78030303030303
DS-R1-7B,AQuA,8,8,0.9362745098039216,0.4692874692874693,0.45476190476190476,0.82838090427552,0.8180309357675103,False,23,95.1086956521739
DS-R1-7B,AQuA,9,8,1.0,0.5012285012285013,0.5012285012285013,0.82838090427552,0.8073342357982966,False,22,95.17045454545455
DS-R1-7B,AQuA,0,4,0.9901960784313726,0.24815724815724816,0.24754901960784315,0.82838090427552,0.9161462694637329,False,12,96.35416666666667
DS-R1-7B,AQuA,1,4,1.0,0.25061425061425063,0.25061425061425063,0.82838090427552,0.7934432427980711,False,10,96.875
DS-R1-7B,AQuA,2,4,1.0,0.25061425061425063,0.25061425061425063,0.82838090427552,0.8576683542762134,False,13,93.26923076923077
DS-R1-7B,AQuA,3,4,1.0,0.25061425061425063,0.25061425061425063,0.82838090427552,0.8055066448410863,False,9,98.61111111111111
DS-R1-7B,AQuA,4,4,0.9313725490196079,0.2334152334152334,0.22946859903381642,0.82838090427552,0.6855336810192335,False,16,96.875
DS-R1-7B,AQuA,5,4,0.8627450980392157,0.21621621621621623,0.20902612826603326,0.82838090427552,0.8481414885170553,False,7,96.42857142857143
DS-R1-7B,AQuA,6,4,0.8627450980392157,0.21621621621621623,0.20902612826603326,0.82838090427552,0.87088195550601,False,10,97.5
DS-R1-7B,AQuA,7,4,1.0,0.25061425061425063,0.25061425061425063,0.82838090427552,0.9881189152814496,False,8,99.21875
DS-R1-7B,AQuA,8,4,0.9215686274509803,0.23095823095823095,0.22650602409638554,0.82838090427552,0.8145950468871569,False,12,98.95833333333333
DS-R1-7B,AQuA,9,4,1.0,0.25061425061425063,0.25061425061425063,0.82838090427552,0.793487340671935,False,12,94.27083333333333
DS-R1-7B,CommonsenseQA,0,8,0.9815762538382804,0.4907881269191402,0.48630831643002026,0.1833365751683797,0.19191272640812862,False,25,76.25
DS-R1-7B,CommonsenseQA,1,8,0.9969293756397134,0.4984646878198567,0.4977005620848237,0.1833365751683797,0.1932394373550606,False,28,85.26785714285714
DS-R1-7B,CommonsenseQA,2,8,0.9754350051177073,0.48771750255885365,0.48179979777553084,0.1833365751683797,0.19568486424672366,False,25,82.25
